3    80,991,-375,-1943,F7,1271,735,496,FF,0,0,0,FF,0,0,0,D1,0,30,-20
6    80,782,-394,-2043,48,1096,707,408,FF,0,0,0,FF,0,0,0,D1,0,30,-20
9    80,639,-428,-2122,EC,1004,670,344,FF,0,0,0,FF,0,0,0,D1,1,28,-22
12    80,592,-563,-2175,EA,1002,618,327,FF,0,0,0,FF,0,0,0,D1,0,29,-22
15    80,686,-661,-2156,41,1089,553,332,FF,0,0,0,FF,0,0,0,D1,0,29,-22
18    80,847,-775,-2111,CC,1484,386,431,FF,0,0,0,FF,0,0,0,D1,1,28,-21
21    80,1054,-891,-2022,D6,1750,289,523,FF,0,0,0,FF,0,0,0,D1,1,28,-21
24    80,1282,-1021,-1920,E6,2022,192,635,FF,0,0,0,FF,0,0,0,D1,1,29,-21
27    80,1512,-1138,-1814,DD,2269,95,750,FF,0,0,0,FF,0,0,0,D1,0,29,-22
30    80,1717,-1244,-1698,A4,2468,11,870,FF,0,0,0,FF,0,0,0,D1,0,29,-22
33    80,1960,-1358,-1489,29,2601,-50,973,FF,0,0,0,FF,0,0,0,D1,0,28,-22
36    80,1973,-1347,-1402,5D,2653,-84,1073,FF,0,0,0,FF,0,0,0,D1,0,28,-22
39    80,1916,-1285,-1328,5D,2653,-84,1073,FF,0,0,0,FF,0,0,0,D1,2,29,-21
42    80,1791,-1175,-1294,00,2304,65,1239,FF,0,0,0,FF,0,0,0,D1,2,29,-21
45    80,1615,-1015,-1279,0C,2060,205,1242,FF,0,0,0,FF,0,0,0,D1,0,29,-23
48    80,1398,-813,-1287,01,1793,389,1216,FF,0,0,0,FF,0,0,0,D1,1,28,-23
51    80,1171,-579,-1317,F9,1529,598,1165,FF,0,0,0,FF,0,0,0,D1,1,28,-23
54    80,960,-330,-1378,0B,1291,827,1097,FF,0,0,0,FF,0,0,0,D1,2,28,-21
57    80,664,135,-1526,51,1105,1058,1012,FF,0,0,0,FF,0,0,0,D1,2,28,-21
60    80,609,322,-1606,E2,963,1447,828,FF,0,0,0,FF,0,0,0,D1,2,28,-22
63    80,627,445,-1678,FB,1019,1566,740,FF,0,0,0,FF,0,0,0,D1,1,29,-21
66    80,713,500,-1737,84,1156,1616,672,FF,0,0,0,FF,0,0,0,D1,1,29,-21
69    80,863,473,-1788,4E,1358,1588,617,FF,0,0,0,FF,0,0,0,D1,1,29,-21
72    80,1053,361,-1823,43,1603,1479,591,FF,0,0,0,FF,0,0,0,D1,1,29,-21
75    80,1264,168,-1845,4A,1866,1285,583,FF,0,0,0,FF,0,0,0,D1,1,30,-20
78    80,1675,-412,-1821,4B,2123,1023,594,FF,0,0,0,FF,0,0,0,D1,1,30,-20
81    80,1824,-773,-1803,2B,2347,704,625,FF,0,0,0,FF,0,0,0,D1,3,28,-21
84    80,1910,-1129,-1769,2E,2606,-1,744,FF,0,0,0,FF,0,0,0,D1,1,28,-21
