3    80,2440,-975,-1643,12,2834,-175,876,FF,0,0,0,FF,0,0,0,D1,0,28,-21
6    80,2124,-1456,-1603,55,2645,-438,917,FF,0,0,0,FF,0,0,0,D1,0,28,-21
9    80,1891,-1583,-1599,6D,2413,-595,947,FF,0,0,0,FF,0,0,0,D1,1,28,-23
12    80,1632,-1611,-1602,69,2153,-638,957,FF,0,0,0,FF,0,0,0,D1,2,29,-22
15    80,1368,-1541,-1624,64,1892,-559,958,FF,0,0,0,FF,0,0,0,D1,2,29,-22
18    80,1124,-1370,-1649,73,1651,-366,936,FF,0,0,0,FF,0,0,0,D1,0,29,-21
21    80,916,-1116,-1684,A1,1441,-80,895,FF,0,0,0,FF,0,0,0,D1,0,29,-21
24    80,763,-811,-1720,95,1173,668,777,FF,0,0,0,FF,0,0,0,D1,1,30,-22
27    80,613,-160,-1819,67,1127,1054,708,FF,0,0,0,FF,0,0,0,D1,1,30,-22
30    80,615,126,-1859,67,1127,1402,644,FF,0,0,0,FF,0,0,0,D1,2,28,-22
33    80,659,340,-1888,91,1169,1671,590,FF,0,0,0,FF,0,0,0,D1,1,27,-22
36    80,733,464,-1913,D9,1241,1832,543,FF,0,0,0,FF,0,0,0,D1,1,27,-22
39    80,818,480,-1922,33,1331,1871,525,FF,0,0,0,FF,0,0,0,D1,0,29,-23
42    80,907,386,-1911,96,1430,1782,531,FF,0,0,0,FF,0,0,0,D1,0,29,-23
45    80,987,190,-1896,96,1607,1244,605,FF,0,0,0,FF,0,0,0,D1,1,27,-21
48    80,1060,-97,-1859,89,1673,846,679,FF,0,0,0,FF,0,0,0,D1,2,27,-22
51    80,1136,-829,-1740,BA,1722,403,772,FF,0,0,0,FF,0,0,0,D1,2,27,-22
54    80,1154,-1209,-1667,D7,1751,-43,871,FF,0,0,0,FF,0,0,0,D1,1,29,-22
57    80,1162,-1554,-1590,F1,1777,-445,973,FF,0,0,0,FF,0,0,0,D1,1,29,-22
60    80,1177,-1824,-1520,04,1796,-770,1058,FF,0,0,0,FF,0,0,0,D1,0,30,-22
63    80,1197,-2002,-1464,1B,1819,-988,1119,FF,0,0,0,FF,0,0,0,D1,0,30,-22
66    80,1237,-2066,-1416,3F,1855,-1071,1170,FF,0,0,0,FF,0,0,0,D1,0,29,-22
69    80,1294,-2006,-1381,B2,1970,-822,1181,FF,0,0,0,FF,0,0,0,D1,1,28,-22
72    80,1492,-1550,-1372,08,2056,-507,1145,FF,0,0,0,FF,0,0,0,D1,1,28,-22
75    80,1614,-1192,-1405,6C,2156,-97,1081,FF,0,0,0,FF,0,0,0,D1,1,29,-22
78    80,1740,-773,-1442,CF,2255,375,1006,FF,0,0,0,FF,0,0,0,D1,1,29,-22
81    80,1858,-349,-1504,2C,2348,862,922,FF,0,0,0,FF,0,0,0,D1,1,29,-20
84    80,1960,56,-1572,76,2422,1328,832,FF,0,0,0,FF,0,0,0,D1,1,28,-21
87    80,2027,403,-1634,A1,2465,1726,740,FF,0,0,0,FF,0,0,0,D1,1,28,-21
90    80,2047,662,-1698,A1,2465,1726,740,FF,0,0,0,FF,0,0,0,D1,1,29,-22
93    80,2014,813,-1753,1A,2330,2215,576,FF,0,0,0,FF,0,0,0,D1,1,29,-22
96    80,1774,745,-1821,89,2185,2095,567,FF,0,0,0,FF,0,0,0,D1,0,28,-21
99    80,1581,517,-1833,D4,2004,1836,584,FF,0,0,0,FF,0,0,0,D1,0,28,-21
102    80,1345,201,-1825,01,1793,1470,625,FF,0,0,0,FF,0,0,0,D1,1,29,-23
105    80,1097,-193,-1797,1D,1565,1022,687,FF,0,0,0,FF,0,0,0,D1,1,28,-23
108    80,843,-623,-1767,3F,1343,534,766,FF,0,0,0,FF,0,0,0,D1,1,28,-23
111    80,608,-1057,-1732,78,989,-395,917,FF,0,0,0,FF,0,0,0,D1,1,28,-21
114    80,412,-1460,-1697,77,887,-761,972,FF,0,0,0,FF,0,0,0,D1,1,28,-21
117    80,192,-2022,-1645,53,851,-1014,1014,FF,0,0,0,FF,0,0,0,D1,0,29,-21
120    80,197,-2139,-1641,6E,878,-1135,1023,FF,0,0,0,FF,0,0,0,D1,0,30,-22
123    80,277,-2137,-1643,CF,975,-1118,1010,FF,0,0,0,FF,0,0,0,D1,0,30,-22
126    80,428,-2011,-1664,6C,1132,-963,975,FF,0,0,0,FF,0,0,0,D1,2,28,-23
129    80,636,-1783,-1699,36,1334,-690,905,FF,0,0,0,FF,0,0,0,D1,2,28,-23
